,centre_x,centre_y,radius,rotation_(degrees),deformation,blur,white_noise,holes,additive_noise_regression,multiplicative_noise_regression,ID_image,shape,color,background_color,pixel_resolution_x,pixel_resolution_y,regression_radius,regression_radius_noise,regression_centering,regression_centering_noise,shape_noisy,color_noisy,correct_class,noisy_class,regression_area,regression_area_noise
0,54.3032817493441,41.66369016638987,15.176461395623331,0.0,41.09880062905043,0.0,4.0,0.0,0.0,0.0,"ID_3_(33, 49, 255)_0",3,"(33, 49, 255)","(0, 0, 0)",128,128,15.176461395623331,15.17646139562333,9.381486846773436,9.381486846773436,3,"(33, 49, 255)",False,False,4.913,491.333
1,30.346618355468745,58.636533250021664,11.329545602350208,0.0,60.705104977876026,0.0,4.0,0.0,0.0,0.0,"ID_3_(33, 49, 255)_1",3,"(33, 49, 255)","(0, 0, 0)",128,128,11.329545602350208,11.329545602350208,21.46730343206449,21.46730343206449,3,"(33, 49, 255)",False,False,3.601,360.107
2,48.18566719597808,68.8406241991785,16.25303673921246,0.0,42.15249418746015,0.0,4.0,0.0,0.0,0.0,"ID_3_(33, 49, 255)_2",3,"(33, 49, 255)","(0, 0, 0)",128,128,16.25303673921246,16.25303673921246,18.927781796566148,18.927781796566148,3,"(33, 49, 255)",False,False,5.975,597.534
3,67.83289392767506,30.94379600667169,20.616883376320978,0.0,40.35457340037233,0.0,4.0,0.0,0.0,0.0,"ID_3_(33, 49, 255)_3",3,"(33, 49, 255)","(0, 0, 0)",128,128,20.616883376320978,20.61688337632098,26.098870022877463,26.098870022877463,3,"(33, 49, 255)",False,False,8.887,888.672
4,62.969387400891776,30.23432930532169,19.30206710174293,0.0,33.93948857951057,0.0,4.0,0.0,0.0,0.0,"ID_3_(33, 49, 255)_4",3,"(33, 49, 255)","(0, 0, 0)",128,128,19.30206710174293,19.30206710174293,23.6407856799404,23.6407856799404,3,"(33, 49, 255)",False,False,7.788,778.809
5,50.1551813372016,50.93841822581309,12.3025620853547,0.0,46.980745671168776,0.0,4.0,0.0,0.0,0.0,"ID_3_(33, 49, 255)_5",3,"(33, 49, 255)","(0, 0, 0)",128,128,12.3025620853547,12.3025620853547,0.9511624540286804,0.9511624540286804,3,"(33, 49, 255)",False,False,3.741,374.146
6,73.26062528549244,69.17094562590242,14.06081415685276,0.0,34.43048898598546,0.0,4.0,0.0,0.0,0.0,"ID_3_(33, 49, 255)_6",3,"(33, 49, 255)","(0, 0, 0)",128,128,14.06081415685276,14.06081415685276,30.14269140046053,30.14269140046053,3,"(33, 49, 255)",False,False,4.205,420.532
7,47.94984393378354,68.24467881168549,13.120108176224734,0.0,39.93166417535847,0.0,4.0,0.0,0.0,0.0,"ID_3_(33, 49, 255)_7",3,"(33, 49, 255)","(0, 0, 0)",128,128,13.120108176224734,13.120108176224734,18.35950557170344,18.35950557170344,3,"(33, 49, 255)",False,False,3.955,395.508
8,46.31755662569482,60.396460727487366,15.078894013988792,0.0,49.389613128262994,0.0,4.0,0.0,0.0,0.0,"ID_3_(33, 49, 255)_8",3,"(33, 49, 255)","(0, 0, 0)",128,128,15.078894013988792,15.078894013988792,11.029360129361596,11.029360129361596,3,"(33, 49, 255)",False,False,5.255,525.513
9,39.622040663835904,58.7679831528845,17.295999916508656,0.0,65.62235781357326,0.0,4.0,0.0,0.0,0.0,"ID_3_(33, 49, 255)_9",3,"(33, 49, 255)","(0, 0, 0)",128,128,17.295999916508656,17.295999916508656,13.586006350371765,13.586006350371765,3,"(33, 49, 255)",False,False,7.831,783.081
