centre_x,centre_y,radius,rotation_(degrees),deformation,blur,white_noise,holes,additive_noise_regression,multiplicative_noise_regression,ID_image,shape,color,background_color,pixel_resolution_x,pixel_resolution_y,regression_radius,regression_radius_noise,regression_centering,regression_centering_noise,shape_noisy,color_noisy,correct_class,noisy_class
35.74699071773778,48.830805821343645,15.273178773629251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ID_0_(255, 55, 42)_0",0,"(255, 55, 42)","(255, 0, 0)",128,128,15.273178773629251,15.273178773629251,14.300884190414832,14.30088419041483,0,"(255, 55, 42)",False,False
41.86235713228766,37.34694032741754,12.67176670142115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ID_0_(255, 55, 42)_1",0,"(255, 55, 42)","(255, 0, 0)",128,128,12.67176670142115,12.67176670142115,15.043973893900574,15.043973893900574,0,"(255, 55, 42)",False,False
54.01431402614885,55.323891272115965,20.800279972601047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ID_0_(255, 55, 42)_2",0,"(255, 55, 42)","(255, 0, 0)",128,128,20.800279972601047,20.800279972601047,6.667723402920067,6.667723402920067,0,"(255, 55, 42)",False,False
73.00416363503584,26.169213354914078,12.509423627076753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ID_0_(255, 55, 42)_3",0,"(255, 55, 42)","(255, 0, 0)",128,128,12.509423627076753,12.509423627076753,33.122468758700805,33.122468758700805,0,"(255, 55, 42)",False,False
53.07757848006474,73.51693823950339,14.022087377468436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ID_0_(255, 55, 42)_4",0,"(255, 55, 42)","(255, 0, 0)",128,128,14.022087377468436,14.022087377468436,23.717459253924616,23.717459253924616,0,"(255, 55, 42)",False,False
67.97856254043788,58.529678392711816,16.950322001543018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ID_0_(255, 55, 42)_5",0,"(255, 55, 42)","(255, 0, 0)",128,128,16.950322001543018,16.950322001543018,19.899349851277325,19.899349851277325,0,"(255, 55, 42)",False,False
41.93471914880216,41.9537560486599,15.488049158645493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ID_0_(255, 55, 42)_6",0,"(255, 55, 42)","(255, 0, 0)",128,128,15.488049158645493,15.488049158645492,11.39257639575771,11.39257639575771,0,"(255, 55, 42)",False,False
65.34984073310721,55.15242986757495,12.90716807099741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ID_0_(255, 55, 42)_7",0,"(255, 55, 42)","(255, 0, 0)",128,128,12.90716807099741,12.90716807099741,16.191514570046742,16.191514570046742,0,"(255, 55, 42)",False,False
61.30438946574402,71.56900767533837,19.743571291741908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ID_0_(255, 55, 42)_8",0,"(255, 55, 42)","(255, 0, 0)",128,128,19.743571291741908,19.743571291741908,24.351823613274426,24.351823613274426,0,"(255, 55, 42)",False,False
45.36350838922043,62.04227368548905,18.039021011456253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ID_0_(255, 55, 42)_9",0,"(255, 55, 42)","(255, 0, 0)",128,128,18.039021011456253,18.039021011456253,12.904007516002592,12.904007516002592,0,"(255, 55, 42)",False,False
30.19281672592392,29.707702341671283,16.50519939490954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ID_0_(255, 55, 42)_10",0,"(255, 55, 42)","(255, 0, 0)",128,128,16.50519939490954,16.50519939490954,28.356689748753332,28.356689748753332,0,"(255, 55, 42)",False,False
38.58028828292913,70.61470483512703,15.744478531815718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ID_0_(255, 55, 42)_11",0,"(255, 55, 42)","(255, 0, 0)",128,128,15.744478531815718,15.74447853181572,23.56641404924422,23.566414049244216,0,"(255, 55, 42)",False,False
61.287117717351144,35.53419837692793,18.82404069062333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ID_0_(255, 55, 42)_12",0,"(255, 55, 42)","(255, 0, 0)",128,128,18.82404069062333,18.82404069062333,18.348254493640983,18.348254493640983,0,"(255, 55, 42)",False,False
36.656625684154186,34.822419721860285,15.249460937192346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ID_0_(255, 55, 42)_13",0,"(255, 55, 42)","(255, 0, 0)",128,128,15.249460937192346,15.249460937192346,20.209022273038084,20.209022273038084,0,"(255, 55, 42)",False,False
74.12728410040788,34.14837007068422,17.399937097461255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ID_0_(255, 55, 42)_14",0,"(255, 55, 42)","(255, 0, 0)",128,128,17.399937097461255,17.399937097461255,28.868668301079882,28.868668301079882,0,"(255, 55, 42)",False,False
66.19903819233895,66.72624416945372,18.461778811842258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ID_0_(255, 55, 42)_15",0,"(255, 55, 42)","(255, 0, 0)",128,128,18.461778811842258,18.461778811842258,23.284674839323834,23.284674839323834,0,"(255, 55, 42)",False,False
