centre_x,centre_y,radius,rotation_(degrees),deformation,blur,white_noise,holes,additive_noise_regression,multiplicative_noise_regression,ID_image,shape,color,background_color,pixel_resolution_x,pixel_resolution_y,mark_first_vertex,regression_radius,regression_radius_noise,regression_centering,regression_centering_noise,shape_noisy,color_noisy,correct_class,noisy_class
35.74699071773778,33.27142557174527,12.238756431596256,194.608402738596,38.418786213117826,0.0,15.591654287696226,0.0,0.0,0.0,"ID_6_(255, 6, 5)_0",6,"(255, 6, 5)","(0, 0, 0)",64,64,True,12.238756431596256,12.238756431596254,21.977112549238836,21.977112549238836,6,"(255, 6, 5)",False,False
41.86235713228766,70.49698982702131,13.192640800551143,83.32911225286071,17.18860073516938,0.0,13.375481336104427,0.0,0.0,0.0,"ID_6_(255, 6, 5)_1",6,"(255, 6, 5)","(0, 0, 0)",64,64,True,13.192640800551143,13.19264080055114,22.053295069250865,22.053295069250865,6,"(255, 6, 5)",False,False
54.01431402614885,42.18350324267676,15.073920066353555,204.65754531261888,18.67015521879424,0.0,18.164489706219694,0.0,0.0,0.0,"ID_6_(255, 6, 5)_2",6,"(255, 6, 5)","(0, 0, 0)",64,64,True,15.073920066353555,15.073920066353555,8.787055175528385,8.787055175528385,6,"(255, 6, 5)",False,False
73.00416363503584,64.45309279112138,14.88538394641542,58.304219670626196,44.678794704538696,0.0,13.727568554502913,0.0,0.0,0.0,"ID_6_(255, 6, 5)_3",6,"(255, 6, 5)","(0, 0, 0)",64,64,True,14.88538394641542,14.88538394641542,27.16769102769446,27.16769102769446,6,"(255, 6, 5)",False,False
53.07757848006474,71.45401587441458,13.408207953136655,340.4882182198583,20.181731216828858,0.0,9.776966042980032,0.0,0.0,0.0,"ID_6_(255, 6, 5)_4",6,"(255, 6, 5)","(0, 0, 0)",64,64,True,13.408207953136655,13.408207953136655,21.67363113187521,21.67363113187521,6,"(255, 6, 5)",False,False
67.97856254043788,51.842103735194044,17.536382026268925,214.28405760393096,59.1450203652493,0.0,8.06562219068827,0.0,0.0,0.0,"ID_6_(255, 6, 5)_5",6,"(255, 6, 5)","(0, 0, 0)",64,64,True,17.536382026268925,17.536382026268925,18.072688156211072,18.072688156211072,6,"(255, 6, 5)",False,False
41.93471914880216,40.2575116584005,13.2759800487937,74.24425251942918,18.73922268749938,0.0,15.056309602308954,0.0,0.0,0.0,"ID_6_(255, 6, 5)_6",6,"(255, 6, 5)","(0, 0, 0)",64,64,True,13.2759800487937,13.275980048793702,12.647720517741554,12.647720517741554,6,"(255, 6, 5)",False,False
65.34984073310721,51.064722803256615,13.802385025054063,214.85159454312588,39.2727004405987,0.0,10.962926731218122,0.0,0.0,0.0,"ID_6_(255, 6, 5)_7",6,"(255, 6, 5)","(0, 0, 0)",64,64,True,13.802385025054063,13.802385025054063,15.38672301627387,15.38672301627387,6,"(255, 6, 5)",False,False
61.30438946574402,38.24751952094695,21.03923877585781,261.6719352075658,17.68116274109547,0.0,7.688960427870857,0.0,0.0,0.0,"ID_6_(255, 6, 5)_8",6,"(255, 6, 5)","(0, 0, 0)",64,64,True,21.03923877585781,21.03923877585781,16.30674764027908,16.30674764027908,6,"(255, 6, 5)",False,False
45.36350838922043,37.15096736870993,11.507889970349261,334.8308452337819,34.20778913626333,0.0,2.3208922504448415,0.0,0.0,0.0,"ID_6_(255, 6, 5)_9",6,"(255, 6, 5)","(0, 0, 0)",64,64,True,11.507889970349261,11.507889970349261,13.659966838055881,13.659966838055881,6,"(255, 6, 5)",False,False
